SCHOOL NO.,ENGLISH CATEGORY,ENGLISH NAME,ENGLISH ADDRESS,LONGITUDE,LATITUDE,EASTING,NORTHING,STUDENTS GENDER,SESSION,DISTRICT
190144000133 ,Aided Secondary Schools,TSUEN WAN PUB HO CHUEN YIU MEMORIAL COLL,ESTATE SECONDARY SCHOOL NO 1 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES,114-7-34,22-22-33,831032,826295,CO-ED,WHOLE DAY,TSUEN WAN
545198000133 ,Aided Secondary Schools,ELEGANTIA COLLEGE (SPONSORED BY ED CONV),"8, CHING SHING ROAD, SHEUNG SHUI NEW TERRITORIES",114-7-26,22-29-34,830822,839238.2,CO-ED,WHOLE DAY,NORTH
230855000133 ,Aided Secondary Schools,KWAI CHUNG METHODIST COLLEGE,ESTATE SECONDARY SCHOOL LAI YIU ESTATE HA KWAI CHUNG NEW TERRITORIES (INCLUDING P001 P002 & P003),114-7-49,22-21-9,831460.4,823708.5,CO-ED,WHOLE DAY,KWAI TSING
530441000133 ,Aided Secondary Schools,YCH WONG WHA SAN SECONDARY SCHOOL,8 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES,114-15-36,22-18-34,844830,818936,CO-ED,WHOLE DAY,SAI KUNG
170810000233 ,Aided Secondary Schools,METHODIST CHURCH HK WESLEY COLLEGE,33 SIU SAI WAN ROAD CHAI WAN HONG KONG,114-15-6,22-15-51,843966.6,813919.4,CO-ED,WHOLE DAY,EASTERN
270172000133 ,Aided Secondary Schools,BUDDHIST HO NAM KAM COLLEGE,3 KO CHIU ROAD KWUN TONG KOWLOON & ANNEX BLOCK AT NO 3 KO CHIU ROAD NKIL 5915 YAU TONG KOWLOON,114-14-22,22-18-2,842712.7,817965.2,CO-ED,WHOLE DAY,KWUN TONG
270032000133 ,Aided Secondary Schools,CARITAS TUEN MUN MARDEN FDN SEC SCH,3 WONG YIN STREET TUEN MUN NEW TERRITORIES,113-58-1,22-24-5,814653,829137,CO-ED,WHOLE DAY,TUEN MUN
513067000133 ,Aided Secondary Schools,NG YUK SECONDARY SCHOOL,SUN CHUI ESTATE SHATIN NEW TERRITORIES,114-10-53,22-22-21,836728,825909,CO-ED,WHOLE DAY,SHA TIN
190586000133 ,Aided Secondary Schools,PLK TANG YUK TIEN COLLEGE,ESTATE SECONDARY SCHOOL NO. 4 WU KING ESTATE AREA 28 TUEN MUN NEW TERRITORIES & NEW ANNEX BUILDING,113-57-53,22-22-37,814412.9,826442.3,CO-ED,WHOLE DAY,TUEN MUN
190250000133 ,Aided Secondary Schools,CCC KEI LONG COLLEGE,8 FUNG YAU STREET SOUTH YUEN LONG NEW TERRITORIES,114-2-4,22-26-29,821593,833544,CO-ED,WHOLE DAY,YUEN LONG
270105000133 ,Aided Secondary Schools,HO NGAI COLL (SPONSORED BY SIK SIK YUEN),8 OI MING LANE TUEN MUN NEW TERRITORIES,113-58-28,22-23-22,815423,827825,CO-ED,WHOLE DAY,TUEN MUN
190454000133 ,Aided Secondary Schools,YOT CHAN WONG SUK FONG MEM SEC SCH,NO 2 WONG YIN STREET TUEN MUN NEW TERRITORIES,113-58-1,22-24-8,814645,829232,CO-ED,WHOLE DAY,TUEN MUN
522090000133 ,Aided Secondary Schools,STFA CHENG YU TUNG SECONDARY SCHOOL,9 HOK LAM LANE TSEUNG KWAN O NEW TERRITORIES,114-15-33,22-19-13,844748,820129,CO-ED,WHOLE DAY,SAI KUNG
